Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad,combined
AD Cafetalera Alto Amazonas,Cajaruro,Estadio Alto Amazonas,Copa Perú,Amazonas,1998.0,26.0,AD Cafetalera Alto Amazonas-Cajaruro-Amazonas
Agricobank San Lorenzo,Bagua,Estadio Manuel Mesones,Copa Perú,Amazonas,1963.0,61.0,Agricobank San Lorenzo-Bagua-Amazonas
Alfonso Ugarte,La Peca,Estadio Manuel Mesones,Copa Perú,Amazonas,1959.0,65.0,Alfonso Ugarte-La Peca-Amazonas
Alianza Polvorín,Aramango,Estadio Municipal de Aramango,Copa Perú,Amazonas,,,Alianza Polvorín-Aramango-Amazonas
Bagua Grande FC,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,2013.0,11.0,Bagua Grande FC-Bagua Grande-Amazonas
Cultural Utcubamba,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,1964.0,60.0,Cultural Utcubamba-Bagua Grande-Amazonas
Deportivo Hospital,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1972.0,52.0,Deportivo Hospital-Chachapoyas-Amazonas
Deportivo Municipal de Cajacuro,Cajaruro,Estadio Municipal de Cajaruro,Copa Perú,Amazonas,1975.0,49.0,Deportivo Municipal de Cajacuro-Cajaruro-Amazonas
Deportivo Municipal de Jazán,Jazán,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,1996.0,28.0,Deportivo Municipal de Jazán-Jazán-Amazonas
Deportivo Municipal de Mendoza,Mendoza,Estadio Mariscal Benavides,Copa Perú,Amazonas,1963.0,61.0,Deportivo Municipal de Mendoza-Mendoza-Amazonas
Deportivo Sachapuyos[2]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1953.0,71.0,Deportivo Sachapuyos[2]​-Chachapoyas-Amazonas
Higos Urco[3]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1947.0,77.0,Higos Urco[3]​-Chachapoyas-Amazonas
Juventud Dinámica Tushpuna[4]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1968.0,56.0,Juventud Dinámica Tushpuna[4]​-Chachapoyas-Amazonas
San Francisco de Asís,Lonya Grande,Estadio San Luis,Copa Perú,Amazonas,1946.0,78.0,San Francisco de Asís-Lonya Grande-Amazonas
Sporting Victoria[5]​,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,1964.0,60.0,Sporting Victoria[5]​-Bagua Grande-Amazonas
Unión Comercial,Pedro Ruiz Gallo,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,1983.0,41.0,Unión Comercial-Pedro Ruiz Gallo-Amazonas
Unión Progreso,Yambrasbamba,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,,,Unión Progreso-Yambrasbamba-Amazonas
Unión Santo Domingo,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1979.0,45.0,Unión Santo Domingo-Chachapoyas-Amazonas
Unión Vencedores de Cajaruro,Cajaruro,Estadio Municipal de Cajaruro,Copa Perú,Amazonas,2016.0,8.0,Unión Vencedores de Cajaruro-Cajaruro-Amazonas
